text	size
shafts	1
blood	16
cottons	1
surfer	2
attempting	1
cross	2
railway	1
alleged	1
actually	8
saved	1
surfers	1
harms	1
way	21
general	1
lost	9
dear	1
police	14
officer	4
roams	11
golden	1
pulled	6
speeding	1
tickets	2
guy	6
file	3
courts	1
find	14
listed	4
doesn	6
exist	2
dead	16
cop	3
trailing	1
disappear	12
close	19
softly	1
almost	10
politely	1
soft	2
disturb	1
anyone	9
phone	2
calls	1
occupied	4
underground	2
attic	10
electricity	3
reason	10
thought	6
passed	5
last	15
nun	3
hung	27
pregnant	4
gym	13
use	9
nobody	4
mines	3
witch	11
life	7
nanny	1
1800	14
coal	1
mining	3
illnesses	1
accused	3
witchcraft	2
executed	1
residents	11
borax	1
pictures	10
orbs	20
documentaries	1
filmed	1
reportedly	8
birthday	1
party	3
weill	1
1882	1
norris	1
lionel	1
ethyl	1
estate	2
ranch	1
the1800	1
original	13
builder	2
sun	1
comes	3
chs	1
legends	2
student	16
involve	1
troubled	1
desperate	2
class	4
claims	1
prolonged	1
screaming	14
bleachers	3
finding	1
source	2
students	36
physically	1
pinned	1
hunting	6
davis	1
new	15
1938	2
vacated	1
wild	2
haired	2
redheaded	1
rushing	1
toward	3
stall	2
attack	5
posture	1
outstretched	2
arms	4
claw	1
person	16
menacing	1
proctor	1
dress	11
occasionally	6
offer	1
look	17
discover	1
1962	2
press	2
sick	4
daughter	10
pushed	4
presses	2
unknown	5
day	28
pants	1
witnesses	9
humming	2
kept	3
verse	1
committed	10
suicide	14
boys	8
presentation	1
haunt	11
ruins	1
surrounding	5
henry	2
fields	3
riding	4
broke	8
neck	2
visions	1
hills	3
decades	3
unidentified	1
kiask	1
sighting	5
stated	2
companion	1
driving	13
pole	2
line	3
rode	2
runs	10
wooded	6
prom	4
civic	1
breezes	1
pass	8
talking	9
legal	1
issues	1
lawyer	1
style	4
brown	4
suit	4
rugged	1
briefcase	1
latches	1
undone	1
latch	1
within	6
invisible	5
noted	3
shirt	2
eyes	8
mustache	1
applauding	2
done	8
1935	1
800	1
seat	3
1936	2
nine	3
entities	3
documented	2
august	2
1997	2
six	8
adult	7
males	2
active	3
communicative	1
allegedly	2
particular	5
identified	2
fritz	1
projectionist	1
include	2
maintenance	2
engineer	1
teacher	2
century	5
elementary	2
vogue	2
featured	1
network	1
broadcasts	1
claimed	10
film	3
crews	1
experiences	3
6675	1
hollywood	1
blvd	1
highland	5
large	15
must	3
far	7
away	19
mad	5
throw	3
trashcans	1
roscrances	1
ave	4
ear	1
flicker	4
table	10
june	5
correction	17
untrue	1
share	1
supposedly	12
mirror	2
march	13
2007	6
1920	7
narbone	1
urban	1
elevator	12
thing	6
changed	3
honor	2
alexander	1
fleming	1
submitter	7
remember	2
change	3
reached	2
rather	3
steep	3
seldom	2
fact	6
total	3
classes	3
unused	1
roosevelt	2
biggest	1
couple	11
wasn	6
four	3
fire	11
dance	2
spying	1
girlfriend	2
cheating	2
friends	7
classroom	1
smoking	1
cigarette	2
threw	4
trash	1
whole	7
teachers	11
claim	13
closing	9
turning	11
apart	2
claps	1
whispers	1
skip	1
eventually	2
fourth	1
restricted	2
4th	5
touching	2
lockers	4
locker	7
type	5
noise	1
wondered	1
lead	6
caged	1
attended	2
cleaned	3
yrs	1
filth	1
sometime	1
cruz	1
highway	8
los	1
gatos	1
twilight	1
macky	1
reputedly	1
clad	2
towers	2
harmless	1
bit	2
local	14
connecting	2
murders	3
tunnels	5
railroad	14
colorado	1
springs	1
cripple	1
allow	1
transportation	1
national	2
forest	6
service	3
making	4
accessable	1
traffic	1
community	4
dyas	1
let	9
make	7
decision	1
red	10
amphitheater	1
railings	1
miner	1
beard	3
dirty	3
brownish	1
hat	3
bottle	1
hand	12
seconds	3
great	6
least	7
trails	4
riverside	1
ponds	2
swamp	1
thick	1
south	13
plate	1
sense	1
become	3
possessed	2
rumors	5
practiced	1
arts	1
treated	5
badly	3
fort	2
morgan	2
walked	8
killing	7
revolve	1
bad	9
energy	1
trees	13
none	1
following	6
fly	7
nothing	11
seem	4
tile	1
ancient	3
anasazi	1
ceremonial	1
pit	2
kivas	1
brittany	1
restaurant	22
jumped	7
tower	12
self	6
together	4
boarding	2
danbury	1
street	23
overdosed	1
heroin	1
illusion	1
melting	1
town	25
gone	7
cornwall	1
opens	2
reveal	2
foundations	1
cellar	2
holes	2
lifetime	1
swirling	1
happenings	5
occurring	1
visit	6
dudley	1
faint	7
drum	1
dread	3
sadness	3
allowed	3
cops	2
watch	8
ticket	1
dolan	3
convent	5
fairfield	1
nuns	6
isn	4
TRUE	6
never	23
raped	2
priest	1
got	16
uncontrollable	2
temperature	3
changes	2
loud	5
bangs	2
awaken	1
frighten	1
4am	1
231	2
229	1
227	1
225	1
november	2
2003	6
infamous	2
didn	5
moving	11
2am	1
sleep	4
sleeping	2
taken	8
offline	1
heat	1
403	1
burlington	1
bristol	1
rte	1
village	7
wiped	2
pox	2
abandoned	12
britain	1
reservoir	1
crescent	1
forgotten	1
brick	1
gages	1
dials	1
metal	3
cases	1
visiting	4
beckoned	1
taunting	1
foot	6
thigh	1
deep	2
nearly	4
anxiety	1
summer	10
gets	7
symbols	1
dirt	3
motorcycle	6
sharp	1
headed	1
specific	3
cycle	1
raise	1
slow	2
stalled	1
oak	1
torrington	1
1950	5
route	3
dog	5
collar	1
shredded	1
fogy	2
fool	1
wander	2
best	2
season	1
tried	12
approach	3
phantom	3
ruden	1
notre	1
dame	1
university	5
haven	2
knows	5
sure	6
angry	5
walks	7
among	8
green	9
development	2
pretty	3
creepy	5
glow	4
distance	3
live	11
taking	3
maybe	2
dorm	8
filled	2
kinds	1
throws	1
breaks	1
hanging	15
pier	1
unsetteling	1
nightly	1
scratches	2
appearing	3
sealed	4
norman	2
college	7
education	1
leach	1
jensen	1
beach	11
enter	4
chills	5
coming	21
double	1
enetering	1
world	2
merchandise	1
falling	3
shelves	6
